X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
543299.403080 2331209.727290 4.146695 3.786829 9.047243
543372.189210 2331408.450990 3.325709 3.737752 8.762036
543263.427250 2331134.471800 4.100087 3.845104 9.340208
543252.384770 2331120.330630 3.328636 3.828954 9.501542
543200.629150 2331011.394530 4.352762 3.923139 9.993774
543782.813960 2332501.926510 2.653645 2.604281 11.843808
543327.224120 2331357.805360 3.651598 3.806384 9.235378
543446.855220 2331680.966800 2.901227 3.679201 9.211561
543673.061040 2332258.517700 2.388917 3.335981 10.708825
543656.822270 2332231.763310 2.283739 3.523807 10.679342
543287.051510 2331307.724670 4.146646 3.874160 9.667727
543572.283200 2332049.874020 4.274520 3.411940 10.186007
543695.157710 2332465.878540 4.127927 3.513303 12.666008
543522.897460 2332053.817020 2.899792 3.693381 10.971913
543520.066890 2332052.537960 2.820027 3.777267 11.010284
543549.564700 2332168.097900 2.762452 3.771684 11.631151
543273.302730 2331472.549990 3.893825 4.000567 10.732685
543150.556400 2331163.613770 4.548413 4.036317 11.382855
543566.453610 2332252.744750 2.617472 3.313573 12.214217
543561.369140 2332239.942260 4.182864 3.807855 12.169278
543211.767330 2331353.845830 2.957081 4.035035 11.150569
543102.878660 2331072.086610 4.405774 4.097707 11.834640
543194.995120 2331315.058720 4.731003 4.046856 11.253392
543557.901860 2332264.246090 3.575062 3.332083 12.454378
543254.300780 2331491.095210 4.293153 4.040836 11.166408
543272.801030 2331552.546570 4.127218 4.030474 11.217589
543544.752690 2332254.937620 3.407993 3.580830 12.565213
543634.591550 2332486.438600 2.906604 3.570455 13.774411
543612.089360 2332428.605960 2.933966 3.674154 13.406155
543423.126710 2331954.437620 3.860784 3.827409 11.659789
543328.820310 2331718.752690 2.902460 4.020572 11.370186
543237.632320 2331508.889280 3.289921 4.076387 11.547804
543130.624760 2331233.598940 4.424773 4.112665 12.011425
543591.828610 2332418.838380 2.648098 3.126183 13.593838
543177.020020 2331370.637570 3.008006 4.194305 11.794198
543605.667970 2332473.104130 3.468871 3.652427 14.044548
543176.620850 2331379.416560 4.695284 4.129604 11.849326
543062.381350 2331086.107210 4.159950 4.136660 12.643681
543111.291020 2331216.653440 4.960539 4.131452 12.283721
543340.400630 2331811.644290 3.708559 3.944917 11.858413
543230.205320 2331529.252260 3.046629 4.114002 11.790290
543196.145020 2331442.577090 3.000388 4.124267 11.876972
543328.078860 2331793.571900 2.607332 4.014126 11.918677
543501.950200 2332254.464360 2.336959 3.499144 13.204439
543092.066410 2331207.377810 4.047355 4.184289 12.523486
543380.950200 2331949.139280 2.266994 3.859834 12.293613
543287.576170 2331719.115720 2.562058 4.077681 12.041551
543227.965090 2331566.601990 4.041220 4.184942 12.030272
543226.662600 2331563.523930 4.667543 4.138127 12.046430
543129.964110 2331316.082460 3.992900 4.187122 12.339036
543029.214360 2331078.402220 4.146009 4.189643 13.219202
543035.666020 2331097.170010 4.978733 4.214536 13.085863
543085.321780 2331226.933410 3.565685 4.208207 12.719672
543582.227780 2332499.526980 3.179451 3.164888 14.685761
543155.254390 2331410.740970 3.907777 4.193670 12.375065
543255.030760 2331675.103390 4.142594 4.125460 12.298889
543013.429930 2331059.082210 4.846111 4.227725 13.343223
543182.257320 2331495.254520 3.398069 4.219791 12.390274
543389.430910 2332025.315190 2.889245 3.932576 12.810094
543592.381840 2332545.906620 3.118705 3.681324 15.042018
543004.040040 2331045.247560 4.934960 4.358546 13.516973
543404.367190 2332077.701050 4.242670 3.905713 13.038269
543004.392330 2331061.163700 3.384008 4.240319 13.504309
543237.887940 2331676.473750 2.570173 4.166585 12.597865
543211.942870 2331628.355350 3.620103 4.204439 12.706925
543425.825200 2332215.286250 2.337062 3.977000 13.994258
543169.166990 2331575.704350 4.753054 4.277611 13.101168
543533.697750 2332514.560060 2.834189 3.448494 15.599678
543315.613770 2331961.584590 3.859102 3.985020 13.472491
543442.788820 2332318.620970 4.334704 3.683105 14.769890
543392.999510 2332206.920040 3.823998 3.990648 14.434028
543354.224120 2332107.803470 3.070847 3.845010 14.122572
543019.762450 2331256.821350 3.263699 4.343006 13.985822
543100.151370 2331462.536930 3.665828 4.357258 13.605173
543442.413820 2332340.562260 4.326612 3.859997 15.013454
543171.166020 2331646.958130 4.656711 4.354478 13.505373
543145.877690 2331583.211240 4.170994 4.325081 13.533513
543310.475100 2332003.794070 3.109607 4.141115 13.908172
543001.247560 2331219.290590 4.621953 4.344917 14.151457
543313.366460 2332014.918580 4.140707 4.141166 13.960741
543535.934810 2332591.745240 3.220853 3.308600 16.407235
543103.750240 2331486.448300 4.311882 4.348788 13.675135
542989.042480 2331196.059080 4.876070 4.354941 14.277018
543541.087650 2332607.492920 3.386236 3.157492 16.511434
543283.506840 2331946.249760 3.236047 4.140732 13.857864
543303.971440 2332002.933350 3.223037 4.017735 14.011429
